# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: molybdenum
# tube voltage: 35 kV
# anode angle: 26°
# inherent filtration: 1 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 1.15401e-01
4.500e+00 	 4.52646e-02
4.750e+00 	 8.12014e-02
5.000e+00 	 1.59263e-01
5.250e+00 	 1.42504e-01
5.500e+00 	 3.17645e-01
5.750e+00 	 4.42530e-01
6.000e+00 	 6.16013e-01
6.250e+00 	 1.01051e+00
6.500e+00 	 1.70014e+00
6.750e+00 	 1.50573e+00
7.000e+00 	 1.73889e+00
7.250e+00 	 2.64556e+00
7.500e+00 	 4.68414e+00
7.750e+00 	 7.29578e-01
8.000e+00 	 2.45650e+00
8.250e+00 	 3.46238e+00
8.500e+00 	 3.60502e+00
8.750e+00 	 3.84209e+00
9.000e+00 	 4.09808e+00
9.250e+00 	 4.17135e+00
9.500e+00 	 4.69621e+00
9.750e+00 	 4.77498e+00
1.000e+01 	 4.62372e+00
1.025e+01 	 4.72745e+00
1.050e+01 	 4.84969e+00
1.075e+01 	 5.00880e+00
1.100e+01 	 4.95500e+00
1.125e+01 	 5.69434e+00
1.150e+01 	 5.36524e+00
1.175e+01 	 5.39097e+00
1.200e+01 	 5.33699e+00
1.225e+01 	 5.21703e+00
1.250e+01 	 5.09972e+00
1.275e+01 	 5.12538e+00
1.300e+01 	 5.11851e+00
1.325e+01 	 4.94950e+00
1.350e+01 	 5.01081e+00
1.375e+01 	 4.79775e+00
1.400e+01 	 4.80448e+00
1.425e+01 	 4.72898e+00
1.450e+01 	 4.56032e+00
1.475e+01 	 4.54660e+00
1.500e+01 	 4.45229e+00
1.525e+01 	 4.41862e+00
1.550e+01 	 4.28222e+00
1.575e+01 	 4.34480e+00
1.600e+01 	 4.11589e+00
1.625e+01 	 4.20863e+00
1.650e+01 	 3.92290e+00
1.675e+01 	 4.70290e+00
1.700e+01 	 3.09210e+00
1.725e+01 	 3.30522e+01
1.750e+01 	 5.54694e+01
1.775e+01 	 8.60634e+00
1.800e+01 	 2.97025e+00
1.825e+01 	 3.67792e+00
1.850e+01 	 3.22571e+00
1.875e+01 	 3.31830e+00
1.900e+01 	 3.31240e+00
1.925e+01 	 3.50042e+00
1.950e+01 	 1.18779e+01
1.975e+01 	 9.77462e+00
2.000e+01 	 3.86054e+00
2.025e+01 	 2.75821e+00
2.050e+01 	 2.34862e+00
2.075e+01 	 2.43176e+00
2.100e+01 	 2.27703e+00
2.125e+01 	 2.32868e+00
2.150e+01 	 2.21576e+00
2.175e+01 	 2.22265e+00
2.200e+01 	 2.19315e+00
2.225e+01 	 2.11140e+00
2.250e+01 	 2.08870e+00
2.275e+01 	 1.99608e+00
2.300e+01 	 1.98924e+00
2.325e+01 	 1.86211e+00
2.350e+01 	 1.89356e+00
2.375e+01 	 1.79981e+00
2.400e+01 	 1.86056e+00
2.425e+01 	 1.73522e+00
2.450e+01 	 1.71212e+00
2.475e+01 	 1.64487e+00
2.500e+01 	 1.65000e+00
2.525e+01 	 1.54948e+00
2.550e+01 	 1.56780e+00
2.575e+01 	 1.46662e+00
2.600e+01 	 1.47411e+00
2.625e+01 	 1.36052e+00
2.650e+01 	 1.36536e+00
2.675e+01 	 1.34140e+00
2.700e+01 	 1.21569e+00
2.725e+01 	 1.29570e+00
2.750e+01 	 1.15455e+00
2.775e+01 	 1.18157e+00
2.800e+01 	 1.08396e+00
2.825e+01 	 1.10020e+00
2.850e+01 	 1.02348e+00
2.875e+01 	 9.84887e-01
2.900e+01 	 9.57635e-01
2.925e+01 	 8.95212e-01
2.950e+01 	 8.88936e-01
2.975e+01 	 8.27846e-01
3.000e+01 	 8.34540e-01
3.025e+01 	 7.38213e-01
3.050e+01 	 7.45032e-01
3.075e+01 	 6.68076e-01
3.100e+01 	 6.52577e-01
3.125e+01 	 6.12515e-01
3.150e+01 	 5.73255e-01
3.175e+01 	 5.49041e-01
3.200e+01 	 5.13264e-01
3.225e+01 	 4.67201e-01
3.250e+01 	 4.29481e-01
3.275e+01 	 3.93792e-01
3.300e+01 	 3.62238e-01
3.325e+01 	 3.15757e-01
3.350e+01 	 3.05392e-01
3.375e+01 	 2.24630e-01
3.400e+01 	 2.19056e-01
3.425e+01 	 1.57747e-01
3.450e+01 	 1.21462e-01
3.475e+01 	 7.31415e-02
3.500e+01 	 2.85056e-02
3.525e+01 	 5.03881e-03
3.550e+01 	 1.37323e-03
3.575e+01 	 1.11277e-03
3.600e+01 	 4.20776e-03
3.625e+01 	 5.25691e-05
3.650e+01 	 4.72543e-03
3.675e+01 	 5.48535e-04
3.700e+01 	 2.67877e-03
3.725e+01 	 2.09724e-03
