# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 30 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 1.50757e-01
4.500e+00 	 1.19535e-01
4.750e+00 	 1.52772e-01
5.000e+00 	 2.63687e-01
5.250e+00 	 2.91094e-01
5.500e+00 	 5.14067e-01
5.750e+00 	 7.12836e-01
6.000e+00 	 1.02965e+00
6.250e+00 	 1.38922e+00
6.500e+00 	 1.75995e+00
6.750e+00 	 2.26442e+00
7.000e+00 	 2.62936e+00
7.250e+00 	 3.10837e+00
7.500e+00 	 3.53331e+00
7.750e+00 	 4.10901e+00
8.000e+00 	 4.62943e+00
8.250e+00 	 4.97323e+00
8.500e+00 	 5.20205e+00
8.750e+00 	 5.58754e+00
9.000e+00 	 5.90926e+00
9.250e+00 	 6.24166e+00
9.500e+00 	 6.27528e+00
9.750e+00 	 6.65563e+00
1.000e+01 	 6.94286e+00
1.025e+01 	 7.25443e+00
1.050e+01 	 6.25607e+00
1.075e+01 	 6.84486e+00
1.100e+01 	 6.87950e+00
1.125e+01 	 7.81986e+00
1.150e+01 	 7.40982e+00
1.175e+01 	 7.29962e+00
1.200e+01 	 7.33563e+00
1.225e+01 	 6.96943e+00
1.250e+01 	 7.07577e+00
1.275e+01 	 7.01149e+00
1.300e+01 	 6.86850e+00
1.325e+01 	 6.55599e+00
1.350e+01 	 6.53552e+00
1.375e+01 	 6.42904e+00
1.400e+01 	 6.34676e+00
1.425e+01 	 6.18601e+00
1.450e+01 	 6.02602e+00
1.475e+01 	 5.91595e+00
1.500e+01 	 5.77776e+00
1.525e+01 	 5.69826e+00
1.550e+01 	 5.54087e+00
1.575e+01 	 5.43670e+00
1.600e+01 	 5.26072e+00
1.625e+01 	 5.22786e+00
1.650e+01 	 4.97896e+00
1.675e+01 	 4.92622e+00
1.700e+01 	 4.79329e+00
1.725e+01 	 4.69982e+00
1.750e+01 	 4.54037e+00
1.775e+01 	 4.46272e+00
1.800e+01 	 4.30722e+00
1.825e+01 	 4.21890e+00
1.850e+01 	 4.11348e+00
1.875e+01 	 4.01264e+00
1.900e+01 	 3.93845e+00
1.925e+01 	 3.79445e+00
1.950e+01 	 3.78739e+00
1.975e+01 	 3.77288e+00
2.000e+01 	 1.45194e+01
2.025e+01 	 1.97538e+01
2.050e+01 	 4.83367e+00
2.075e+01 	 3.11219e+00
2.100e+01 	 3.09016e+00
2.125e+01 	 2.93662e+00
2.150e+01 	 2.86175e+00
2.175e+01 	 2.72595e+00
2.200e+01 	 2.75498e+00
2.225e+01 	 2.39180e+00
2.250e+01 	 3.99654e+00
2.275e+01 	 5.82785e+00
2.300e+01 	 3.16414e+00
2.325e+01 	 2.60117e+00
2.350e+01 	 1.98105e+00
2.375e+01 	 1.87731e+00
2.400e+01 	 1.84210e+00
2.425e+01 	 1.75385e+00
2.450e+01 	 1.72165e+00
2.475e+01 	 1.61686e+00
2.500e+01 	 1.56898e+00
2.525e+01 	 1.47882e+00
2.550e+01 	 1.46695e+00
2.575e+01 	 1.31218e+00
2.600e+01 	 1.28683e+00
2.625e+01 	 1.22317e+00
2.650e+01 	 1.13701e+00
2.675e+01 	 1.04849e+00
2.700e+01 	 1.02447e+00
2.725e+01 	 9.10705e-01
2.750e+01 	 8.81149e-01
2.775e+01 	 7.76489e-01
2.800e+01 	 7.12877e-01
2.825e+01 	 6.54595e-01
2.850e+01 	 5.73186e-01
2.875e+01 	 4.96208e-01
2.900e+01 	 4.35543e-01
2.925e+01 	 3.37208e-01
2.950e+01 	 2.55221e-01
2.975e+01 	 1.75485e-01
3.000e+01 	 6.04706e-02
3.025e+01 	 1.28965e-02
3.050e+01 	 6.85912e-03
3.075e+01 	 6.77525e-03
3.100e+01 	 6.31332e-03
3.125e+01 	 5.84451e-03
3.150e+01 	 6.47037e-03
3.175e+01 	 4.97525e-03
3.200e+01 	 6.30253e-03
3.225e+01 	 4.54165e-03
3.250e+01 	 5.91321e-03
