# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: molybdenum
# tube voltage: 45 kV
# anode angle: 26°
# inherent filtration: 1 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 0.00000e+00
4.500e+00 	 0.00000e+00
4.750e+00 	 1.30599e-02
5.000e+00 	 5.55273e-02
5.250e+00 	 8.85876e-02
5.500e+00 	 1.58082e-01
5.750e+00 	 2.63349e-01
6.000e+00 	 3.44383e-01
6.250e+00 	 7.13661e-01
6.500e+00 	 1.37552e+00
6.750e+00 	 1.06891e+00
7.000e+00 	 1.01842e+00
7.250e+00 	 2.28669e+00
7.500e+00 	 4.01408e+00
7.750e+00 	 0.00000e+00
8.000e+00 	 8.80708e-01
8.250e+00 	 2.52041e+00
8.500e+00 	 2.40598e+00
8.750e+00 	 2.75770e+00
9.000e+00 	 2.83054e+00
9.250e+00 	 2.96267e+00
9.500e+00 	 3.45081e+00
9.750e+00 	 3.60112e+00
1.000e+01 	 3.17010e+00
1.025e+01 	 3.45263e+00
1.050e+01 	 3.59912e+00
1.075e+01 	 3.66736e+00
1.100e+01 	 3.77011e+00
1.125e+01 	 4.22356e+00
1.150e+01 	 4.09769e+00
1.175e+01 	 4.07517e+00
1.200e+01 	 4.04034e+00
1.225e+01 	 3.95938e+00
1.250e+01 	 3.96936e+00
1.275e+01 	 4.03500e+00
1.300e+01 	 3.88441e+00
1.325e+01 	 3.90920e+00
1.350e+01 	 3.86182e+00
1.375e+01 	 3.85681e+00
1.400e+01 	 3.75648e+00
1.425e+01 	 3.77643e+00
1.450e+01 	 3.64157e+00
1.475e+01 	 3.70334e+00
1.500e+01 	 3.57923e+00
1.525e+01 	 3.60554e+00
1.550e+01 	 3.52649e+00
1.575e+01 	 3.54970e+00
1.600e+01 	 3.45834e+00
1.625e+01 	 3.55436e+00
1.650e+01 	 3.12612e+00
1.675e+01 	 4.69503e+00
1.700e+01 	 1.23311e+00
1.725e+01 	 4.04073e+01
1.750e+01 	 6.83609e+01
1.775e+01 	 1.05994e+01
1.800e+01 	 2.25336e+00
1.825e+01 	 3.25323e+00
1.850e+01 	 2.82162e+00
1.875e+01 	 2.81484e+00
1.900e+01 	 3.08615e+00
1.925e+01 	 2.92805e+00
1.950e+01 	 1.39538e+01
1.975e+01 	 1.16688e+01
2.000e+01 	 3.74655e+00
2.025e+01 	 2.57659e+00
2.050e+01 	 1.92934e+00
2.075e+01 	 2.06874e+00
2.100e+01 	 1.98769e+00
2.125e+01 	 1.98211e+00
2.150e+01 	 1.92701e+00
2.175e+01 	 1.97929e+00
2.200e+01 	 1.94866e+00
2.225e+01 	 1.95595e+00
2.250e+01 	 1.85845e+00
2.275e+01 	 1.81364e+00
2.300e+01 	 1.75870e+00
2.325e+01 	 1.80011e+00
2.350e+01 	 1.71119e+00
2.375e+01 	 1.74267e+00
2.400e+01 	 1.68708e+00
2.425e+01 	 1.67141e+00
2.450e+01 	 1.62398e+00
2.475e+01 	 1.61566e+00
2.500e+01 	 1.60911e+00
2.525e+01 	 1.53997e+00
2.550e+01 	 1.56395e+00
2.575e+01 	 1.45790e+00
2.600e+01 	 1.48230e+00
2.625e+01 	 1.45445e+00
2.650e+01 	 1.40374e+00
2.675e+01 	 1.42133e+00
2.700e+01 	 1.36469e+00
2.725e+01 	 1.36869e+00
