# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: rhodium
# tube voltage: 24 kV
# anode angle: 18°
# inherent filtration: 0.15 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 2.35582e-01
4.500e+00 	 2.57961e-01
4.750e+00 	 2.84814e-01
5.000e+00 	 3.59521e-01
5.250e+00 	 5.72617e-01
5.500e+00 	 8.24732e-01
5.750e+00 	 1.21148e+00
6.000e+00 	 1.60751e+00
6.250e+00 	 2.23895e+00
6.500e+00 	 2.80676e+00
6.750e+00 	 3.41321e+00
7.000e+00 	 4.04963e+00
7.250e+00 	 4.68961e+00
7.500e+00 	 5.29100e+00
7.750e+00 	 6.02063e+00
8.000e+00 	 6.73981e+00
8.250e+00 	 7.15913e+00
8.500e+00 	 7.45265e+00
8.750e+00 	 7.97455e+00
9.000e+00 	 8.18839e+00
9.250e+00 	 8.52582e+00
9.500e+00 	 8.76222e+00
9.750e+00 	 9.02127e+00
1.000e+01 	 9.25307e+00
1.025e+01 	 9.16244e+00
1.050e+01 	 9.01054e+00
1.075e+01 	 9.38680e+00
1.100e+01 	 9.01540e+00
1.125e+01 	 1.02892e+01
1.150e+01 	 9.70217e+00
1.175e+01 	 9.54574e+00
1.200e+01 	 9.37006e+00
1.225e+01 	 8.97340e+00
1.250e+01 	 8.91646e+00
1.275e+01 	 8.73487e+00
1.300e+01 	 8.67485e+00
1.325e+01 	 8.21571e+00
1.350e+01 	 8.17992e+00
1.375e+01 	 7.82454e+00
1.400e+01 	 7.72422e+00
1.425e+01 	 7.49464e+00
1.450e+01 	 7.24174e+00
1.475e+01 	 7.07469e+00
1.500e+01 	 6.84658e+00
1.525e+01 	 6.62839e+00
1.550e+01 	 6.40670e+00
1.575e+01 	 6.14807e+00
1.600e+01 	 5.98849e+00
1.625e+01 	 5.83644e+00
1.650e+01 	 5.57015e+00
1.675e+01 	 5.43551e+00
1.700e+01 	 5.15812e+00
1.725e+01 	 5.02334e+00
1.750e+01 	 4.82226e+00
1.775e+01 	 4.62041e+00
1.800e+01 	 4.41382e+00
1.825e+01 	 4.26680e+00
1.850e+01 	 4.04489e+00
1.875e+01 	 3.90258e+00
1.900e+01 	 3.67646e+00
1.925e+01 	 3.46218e+00
1.950e+01 	 3.39567e+00
1.975e+01 	 3.17804e+00
2.000e+01 	 3.55853e+00
2.025e+01 	 3.67618e+00
2.050e+01 	 2.74503e+00
2.075e+01 	 2.48269e+00
2.100e+01 	 2.31093e+00
2.125e+01 	 2.13224e+00
2.150e+01 	 1.99579e+00
2.175e+01 	 1.80277e+00
2.200e+01 	 1.60890e+00
2.225e+01 	 1.50557e+00
2.250e+01 	 1.35986e+00
2.275e+01 	 1.30875e+00
2.300e+01 	 9.80613e-01
2.325e+01 	 7.88962e-01
2.350e+01 	 5.68163e-01
2.375e+01 	 3.75401e-01
2.400e+01 	 1.46159e-01
2.425e+01 	 2.85663e-02
2.450e+01 	 2.08483e-02
2.475e+01 	 2.06246e-02
2.500e+01 	 1.91084e-02
2.525e+01 	 2.00489e-02
2.550e+01 	 1.86806e-02
2.575e+01 	 1.74865e-02
2.600e+01 	 1.60059e-02
2.625e+01 	 1.54152e-02
2.650e+01 	 1.65397e-02
2.675e+01 	 1.19539e-02
2.700e+01 	 1.46162e-02
2.725e+01 	 1.13335e-02
2.750e+01 	 1.23911e-02
2.775e+01 	 1.17200e-02
2.800e+01 	 9.14564e-03
2.825e+01 	 1.24392e-02
2.850e+01 	 9.31084e-03
2.875e+01 	 9.06890e-03
2.900e+01 	 8.73535e-03
2.925e+01 	 8.99242e-03
2.950e+01 	 7.24178e-03
2.975e+01 	 6.35142e-03
3.000e+01 	 8.11481e-03
3.025e+01 	 4.39538e-03
3.050e+01 	 6.53766e-03
3.075e+01 	 4.62083e-03
