# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: tungsten
# tube voltage: 10 kV
# anode angle: 30°
# inherent filtration: 4 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 2.61769e-01
4.500e+00 	 2.99764e-01
4.750e+00 	 4.17606e-01
5.000e+00 	 7.31716e-01
5.250e+00 	 1.24566e+00
5.500e+00 	 2.41433e+00
5.750e+00 	 4.10329e+00
6.000e+00 	 6.82108e+00
6.250e+00 	 1.00929e+01
6.500e+00 	 1.42830e+01
6.750e+00 	 1.80473e+01
7.000e+00 	 2.10727e+01
7.250e+00 	 2.11520e+01
7.500e+00 	 2.62740e+01
7.750e+00 	 2.96025e+01
8.000e+00 	 3.33010e+01
8.250e+00 	 3.47264e+01
8.500e+00 	 3.55290e+01
8.750e+00 	 3.53194e+01
9.000e+00 	 3.29746e+01
9.250e+00 	 2.98418e+01
9.500e+00 	 2.36086e+01
9.750e+00 	 1.43983e+01
1.000e+01 	 2.58291e+00
1.025e+01 	 1.24131e-01
1.050e+01 	 2.31009e-02
1.075e+01 	 2.81257e-02
1.100e+01 	 2.27931e-02
1.125e+01 	 3.38304e-02
1.150e+01 	 4.52793e-02
1.175e+01 	 2.13628e-02
1.200e+01 	 3.80504e-02
1.225e+01 	 2.55401e-02
1.250e+01 	 3.50827e-02
1.275e+01 	 2.63455e-02
1.300e+01 	 3.81209e-02
1.325e+01 	 1.95525e-02
1.350e+01 	 3.49790e-02
1.375e+01 	 2.80751e-02
1.400e+01 	 3.71762e-02
1.425e+01 	 2.58552e-02
1.450e+01 	 4.13890e-02
1.475e+01 	 2.61018e-02
1.500e+01 	 2.77809e-02
1.525e+01 	 3.13486e-02
1.550e+01 	 2.48348e-02
1.575e+01 	 2.98821e-02
1.600e+01 	 2.34007e-02
1.625e+01 	 2.79862e-02
1.650e+01 	 2.19967e-02
1.675e+01 	 2.08971e-02
1.700e+01 	 1.52628e-02
