n	E_num	E_teo	Diff_%
0	-0.9216000000	-0.9216000000	0.0000000037
1	-0.7743999940	-0.7744000000	0.0000007716
2	-0.6399999788	-0.6400000000	0.0000033118
3	-0.5183999540	-0.5184000000	0.0000088704
4	-0.4095999238	-0.4096000000	0.0000185955
5	-0.3135998897	-0.3136000000	0.0000351636
6	-0.2303998402	-0.2304000000	0.0000693506
7	-0.1599996548	-0.1600000000	0.0002157340
8	-0.1023985093	-0.1024000000	0.0014557458
9	-0.0575913122	-0.0576000000	0.0150829500
10	-0.0255515103	-0.0256000000	0.1894127255
11	-0.0061978636	-0.0064000000	3.1583810437
