# 18.11.2020
# 
# unfiltered x-ray spectrum
# measured at: PTB, Braunschweig
# anode: tungsten
# tube voltage: 49 kV
# anode angle: 30°
# inherent filtration: 4 mm Be
# measured in air at 100 cm distance from the focus
# bin width: 0.25 keV
# 
# energy 	 fluence
# (top of bin) 	 (normalised to total fluence and bin width)
# [keV] 	 [photons keV^-1 cm^-2]
2.500e-01 	 0.00000e+00
5.000e-01 	 0.00000e+00
7.500e-01 	 0.00000e+00
1.000e+00 	 0.00000e+00
1.250e+00 	 0.00000e+00
1.500e+00 	 0.00000e+00
1.750e+00 	 0.00000e+00
2.000e+00 	 0.00000e+00
2.250e+00 	 0.00000e+00
2.500e+00 	 0.00000e+00
2.750e+00 	 0.00000e+00
3.000e+00 	 0.00000e+00
3.250e+00 	 0.00000e+00
3.500e+00 	 0.00000e+00
3.750e+00 	 0.00000e+00
4.000e+00 	 0.00000e+00
4.250e+00 	 5.36335e-02
4.500e+00 	 4.63385e-02
4.750e+00 	 4.49149e-02
5.000e+00 	 5.53457e-02
5.250e+00 	 4.43302e-02
5.500e+00 	 8.76628e-02
5.750e+00 	 1.10625e-01
6.000e+00 	 1.46761e-01
6.250e+00 	 2.77524e-01
6.500e+00 	 3.47823e-01
6.750e+00 	 4.31744e-01
7.000e+00 	 5.65626e-01
7.250e+00 	 8.43473e-01
7.500e+00 	 1.07491e+00
7.750e+00 	 1.61424e+00
8.000e+00 	 2.64988e+00
8.250e+00 	 1.22038e+01
8.500e+00 	 1.41994e+01
8.750e+00 	 2.71033e+00
9.000e+00 	 2.98853e+00
9.250e+00 	 3.22461e+00
9.500e+00 	 1.33335e+01
9.750e+00 	 2.20659e+01
1.000e+01 	 1.25920e+01
1.025e+01 	 4.36984e+00
1.050e+01 	 2.18180e+00
1.075e+01 	 2.58074e+00
1.100e+01 	 3.21673e+00
1.125e+01 	 6.71011e+00
1.150e+01 	 5.50564e+00
1.175e+01 	 3.77340e+00
1.200e+01 	 3.01116e+00
1.225e+01 	 2.67336e+00
1.250e+01 	 2.66547e+00
1.275e+01 	 2.72632e+00
1.300e+01 	 2.83737e+00
1.325e+01 	 2.80793e+00
1.350e+01 	 2.94738e+00
1.375e+01 	 2.94197e+00
1.400e+01 	 3.02653e+00
1.425e+01 	 3.04532e+00
1.450e+01 	 3.11554e+00
1.475e+01 	 3.14827e+00
1.500e+01 	 3.14838e+00
1.525e+01 	 3.18252e+00
1.550e+01 	 3.18605e+00
1.575e+01 	 3.23429e+00
1.600e+01 	 3.25106e+00
1.625e+01 	 3.23098e+00
1.650e+01 	 3.27057e+00
1.675e+01 	 3.28496e+00
1.700e+01 	 3.24585e+00
1.725e+01 	 3.27264e+00
1.750e+01 	 3.24356e+00
1.775e+01 	 3.21869e+00
1.800e+01 	 3.27683e+00
1.825e+01 	 3.19005e+00
1.850e+01 	 3.24903e+00
1.875e+01 	 3.17219e+00
1.900e+01 	 3.20012e+00
1.925e+01 	 3.18014e+00
1.950e+01 	 3.18751e+00
1.975e+01 	 3.10166e+00
2.000e+01 	 3.13240e+00
2.025e+01 	 3.07865e+00
2.050e+01 	 3.07553e+00
2.075e+01 	 3.02746e+00
2.100e+01 	 3.06186e+00
2.125e+01 	 2.99187e+00
2.150e+01 	 2.99926e+00
2.175e+01 	 2.97805e+00
2.200e+01 	 2.96168e+00
2.225e+01 	 2.96977e+00
2.250e+01 	 2.86526e+00
2.275e+01 	 2.86901e+00
2.300e+01 	 2.82553e+00
2.325e+01 	 2.77572e+00
2.350e+01 	 2.77913e+00
2.375e+01 	 2.72359e+00
2.400e+01 	 2.70841e+00
2.425e+01 	 2.69022e+00
2.450e+01 	 2.63956e+00
2.475e+01 	 2.64222e+00
2.500e+01 	 2.61096e+00
2.525e+01 	 2.55076e+00
2.550e+01 	 2.52795e+00
2.575e+01 	 2.51135e+00
2.600e+01 	 2.45696e+00
2.625e+01 	 2.42590e+00
2.650e+01 	 2.41993e+00
2.675e+01 	 2.37546e+00
2.700e+01 	 2.36346e+00
2.725e+01 	 2.27776e+00
